genes	cluster
Ivns1abp	13
Ptpre	36
Oas1c	2
Nfatc2ip	19
Casr	1
Zfp398	5
Zadh2	24
Rbpj	2
Atp8b4	8
Il7r	3
Cd99l2	5
Slc35f5	28
Abca17	32
Coro7	8
Cdkn1b	3
Ncapd2	9
Upp1	2
Ahnak	3
Cttnbp2nl	2
Acads	23
Tec	1
Ext2	23
Gusb	4
Ftsj3	25
Gm16712	7
Fam171a2	9
Plpp2	8
Dtx4	28
Heatr6	11
Plcb2	5
Prkar2b	4
Gm266	1
Nuak2	2
Myo10	7
Irgm2	2
Ctla4	1
Ccdc28b	5
Slc6a8	17
Smpd3	17
H2.Ob	9
Dnajc7	3
Dlx1	22
Sipa1	5
Tspan3	3
Scrn3	5
Ttc39b	2
Wfdc21	19
Ctnnd2	4
Cyb5r1	4
Kif1b	10
Kremen2	9
Washc1	7
Psd	3
Zc3hav1	2
Txnip	4
Acp6	23
Avil	20
Eno4	1
Akap17b	4
Cpeb4	1
Slfn4	3
Nmi	2
Hadh	30
Ctnnd1	13
X1700030C10Rik	15
St8sia1	22
Iigp1	2
Josd1	19
Dcaf6	6
Traf2	1
Chrna5	16
Ccl9	11
Mrvi1	9
Tap1	2
Gpr137b	1
Hspg2	23
Cdk1	1
Net1	10
Pfkp	16
Serpinb1b	1
Mvb12b	9
Derl2	18
Gsdmd	18
Hes7	7
Ap1s3	8
Rnf31	1
Tex14	18
Gsap	34
Pstpip1	10
Rgs19	5
Ptgis	5
Ptpro	8
Heg1	19
Plxna1	24
Il6ra	9
Nt5c3b	20
Ascc3	2
X4930523C07Rik	3
Dpysl2	8
Itgb2	8
Slc9a3r2	9
Cryz	23
Dlg5	27
Tnik	27
Siglecg	9
Lamc1	4
Mras	4
Hmbs	5
Gsto1	14
Klf3	8
Ilrun	6
Ctns	23
X4930599N23Rik	2
Mllt6	3
Abcc4	23
Nid1	1
X2510009E07Rik	23
Sgk1	24
Fam20c	15
Sh3bp1	22
Tbc1d4	2
Pparg	8
Gm4827	1
Mylk	1
Gfpt1	2
Ndrg2	3
Ahrr	13
Rexo4	1
Sbno2	1
Myo1f	13
Nox1	1
Vcan	1
Lrpap1	4
Epn1	5
Mycl	22
Tsnax	5
Pde3b	8
Tsku	11
Slc48a1	5
Atmin	3
Gtf2i	23
Mybl2	25
Patj	37
Rcl1	7
Ghitm	3
Ece1	3
Usp40	2
Dnal1	22
Arc	3
Tep1	5
Idh1	4
Ifi202b	6
Rasd1	6
Lpcat4	5
Gcnt2	8
BC051226	2
Mapk3	5
Ctsd	15
Ptch1	8
Pde2a	2
Cacna1g	11
Tmem156	4
Hap1	11
Trpv2	5
Klri1	8
Lrrk1	10
Phka2	4
Wfdc17	11
Tgm2	9
Arl6	19
Osr2	4
Ush1c	9
Birc2	6
Optn	1
Arhgap31	6
Naa25	2
Crxos	6
Sema6b	23
BC005537	2
Flt3	9
Rcbtb2	5
Adam15	9
Tle1	23
Klk1b22	19
X4833439L19Rik	19
Gstt3	11
Zcchc24	4
Pgpep1	1
Txndc17	3
Uprt	5
Fam43a	8
Ifi205	2
Oxct1	9
Riok3	3
Ctif	6
Pigx	5
Npr1	7
Lta	1
Scimp	8
Pcp4	10
Etv5	4
Nsd3	2
Il15ra	6
Stimate	7
Akap13	6
Fyb	12
Rassf2	6
Smcr8	1
Rbm38	9
Sirt1	3
Pgghg	1
Xpr1	4
Socs1	6
N4bp1	3
Coro1a	5
Lamtor4	4
Ndufaf7	5
Arl10	5
Pag1	4
Mettl27	17
Pcdh7	15
Dmtn	2
Hibch	5
Lmo4	35
Slc35g1	23
Ankrd37	5
Gabpb1	6
Enox2	3
Azi2	2
Gcsam	2
Dhcr7	23
Lnx2	6
Ms4a6d	1
Il18	37
Gstt1	11
Polr3g	23
Txndc15	4
C2cd4c	1
AI467606	5
Cacnb4	32
Rnd3	25
Slc30a1	24
Pf4	24
Dpagt1	5
Irs2	36
Glipr1	4
Fmnl1	19
Hrh2	24
Ido2	1
Cd70	6
Ero1lb	9
Spred1	3
P4hb	23
Nup98	3
Adgre1	11
Fgd3	5
Tmem154	20
Ndrg4	25
Nmrk1	7
Sh2d1b1	28
Insig2	4
Hpgds	24
Rap1b	1
Tubb6	7
Cd86	6
Acsl5	23
Lpcat2	9
Nr4a1	1
Cmtm7	5
Wdr12	23
Pcdh15	8
P2ry12	5
Selenon	9
Gm11545	23
Psg16	6
Hat1	3
Fundc2	20
Calhm2	9
Gpr137b.ps	34
Bscl2	5
Myh7b	9
Fam3c	5
Phf19	14
Atm	10
Tor1a	4
Ccdc92	4
Eva1a	25
Rbfa	5
Poglut2	23
Vcl	23
Fchsd2	7
Chmp4b	1
Loxl4	7
Igdcc3	24
Ugt1a7c	4
Slc39a1	18
Gm2a	4
Cox17	1
Ech1	5
H2bc4	4
Zfp964	11
Lmo1	4
Ostf1	6
Hcn3	3
Mfsd6	8
Shc4	1
Tapbp	6
Usp47	1
Snx9	5
Sap30	1
Acap1	9
Gm15987	11
Tmbim1	15
Art2a	2
Clec7a	8
B430306N03Rik	22
Zfp385a	9
C130050O18Rik	23
Atxn7l1	16
Nbdy	26
Plk2	2
Hsf2	6
Mdp1	5
Mta3	8
Gmeb2	3
X4930512J16Rik	23
Rhov	7
Gfod1	13
Rsf1	3
Gsr	19
Clcn4	5
Tmem70	3
Xpot	28
Hgh1	23
Phactr1	5
Rnf166	5
Tent5a	24
Syngr2	10
Kdm5c	1
Ppp3cc	1
Rufy1	9
Chst15	24
Stt3b	5
Dok3	5
Ptpa	23
AI837181	3
Thbs1	24
Lrrc41	3
Uggt1	5
Dnajc13	2
H2.Ab1	5
Hs3st1	1
Mccc2	23
Src	2
Ppa1	2
Dnajc16	18
Hook1	20
Ctsh	28
Ogfr	1
Gpr12	4
Slc39a11	5
Gm1965	4
Mocos	16
Tmem79	32
Cd82	2
Vps26b	5
Mitf	16
Nrros	5
Rubcnl	12
Ifi211	2
Eci2	30
Ifnar2	4
Yju2	1
Tyw1	23
Arhgap26	3
Morrbid	1
Nudt22	23
Acaa2	4
Mindy2	8
Zc3h12c	3
Uap1l1	30
Ank	5
Etv4	4
Chic1	21
Afap1	26
Foxn3	11
Frrs1	5
Adgra2	23
Ddx11	19
Mtss1	21
Tmem50b	28
Cad	23
Hdac5	23
Tyrobp	30
Mxd3	23
Kdm7a	5
Elmo2	4
Vegfb	5
Nono	2
Bach2	23
Popdc2	7
Gfi1	17
F830208F22Rik	7
Casp6	30
Nbeal2	5
Fbxw17	1
Hexb	4
Letm2	3
Galm	4
Il2	14
Gpr65	1
Shisa7	5
Tnfrsf18	30
Pmm1	23
Pdxp	23
Tmem67	2
Dhcr24	23
Map11	4
Phf14	9
Rasd2	23
Elovl6	15
Tmem164	15
St3gal3	3
Atp2c1	4
Kdm4a	3
Retsat	23
Ddx24	6
Zscan29	2
Atp6ap2	15
Adam19	19
Tpp1	4
Cpeb2	24
Eml3	9
Mrpl39	3
Susd3	5
Ripor1	36
Psma6	1
Ydjc	23
Dck	2
Abca1	21
Kif7	5
Ftsj1	23
Dhrs1	23
Rnpep	8
Aldh2	20
Fam118a	5
C3	19
Dnajc1	4
Polk	5
Efna2	10
Prkra	5
Cdc27	19
Slc14a1	4
Keap1	2
Phtf2	5
