genes	cluster
Slc25a19	2
Adam19	1
Hopx	4
Sdcbp2	1
Kcnn1	1
Rnf31	1
Zfp385a	3
Lrrc41	1
Hexb	3
Ifi214	1
Ccdc28b	3
Ilrun	1
Ctns	3
Optn	1
Zbtb38	7
Birc2	1
Dcaf6	4
Nlrp1a	3
Tnfsf13b	3
Il4i1	1
H3f3b	1
Ptpre	3
Dpy19l3	3
Slc38a9	3
Mocos	4
Cnpy4	3
Cdc27	2
Npr1	2
Polr3c	1
Klf10	7
Hlcs	3
Igtp	1
Lrmp	6
Tm4sf5	2
Gsr	2
Depdc7	1
Gstt3	2
Plpp1	3
Uap1l1	3
Rrad	2
Tle1	3
Rbfa	3
Tmem70	1
Pid1	5
Cdc42ep1	6
Otud7b	1
Mvp	1
Nrros	3
Prr7	3
Gprc5c	1
Lipa	3
Foxp4	1
Slfn4	1
Glcci1	2
Atm	4
Snx9	3
Gcnt1	3
Lpcat4	3
Ptpa	3
Nid2	3
Prkd2	3
Grhl1	1
Ifi211	1
Grina	2
Fam168a	3
Trpv2	5
Mbd2	1
Pnpla7	3
Hsf2	1
H2.Q6	1
Cryz	3
X4833438C02Rik	1
Tmem229b	3
Rad51	1
Arhgap26	1
Acap1	3
Parp1	3
Abr	3
Ifi47	1
Xrcc6	3
Ces2c	2
Cep19	3
Spn	2
Plk3	6
Zdhhc9	3
Cxcr5	1
Mtmr14	1
Snai1	2
Ttc39b	1
Egln2	2
Gusb	3
Fam3c	3
Nup98	1
C3	2
X2310001H17Rik	1
Heatr6	2
Nfatc2ip	2
Cacnb4	4
Agrn	1
Cgref1	3
Fam117a	3
Arhgef2	1
Tlcd1	2
Fmnl1	1
Anxa5	1
Tec	2
Gamt	7
X1700013H16Rik	3
Ermp1	3
Rsf1	1
Tep1	5
Ece1	1
B3gnt2	2
Calhm2	5
Elovl6	3
Eogt	3
C5ar1	1
Ctdsp2	3
Mxd4	3
Khnyn	1
Lrrc8d	3
X1700017B05Rik	3
Rarb	8
Nt5dc2	3
Irgm2	1
Cd53	3
Apobec1	2
Ogfr	1
Gm4827	2
Mvb12b	3
Igf2r	3
Rabgef1	1
Polr1e	3
Mcl1	1
Tmtc1	3
Ctsh	10
Lpcat2	3
Phf19	2
S1pr2	5
N4bp1	1
Rab12	1
Xrn1	1
Pnpo	3
Lrp1	3
Rab21	1
Ccdc50	1
Sgpp1	3
Slc16a3	3
Slc22a5	8
Inpp1	5
Man1a	2
Sdf2l1	3
Sec23b	1
Wfdc17	2
Hat1	1
Rab31	3
Ppp1r16b	3
Txndc17	1
Mrpl39	1
Ptprj	1
Card11	3
Rpn1	3
Ppa1	1
Mybl2	1
X2310040G24Rik	7
Eif4e3	5
Esyt3	3
Mthfs	1
Anxa1	2
Mmp9	3
Flrt2	3
Selenon	5
Ripk2	1
Tssk3	1
Gm15987	2
Fuca2	5
Ccr3	1
Hes7	1
Tpp1	3
X4930552P12Rik	2
X4930512J16Rik	3
Ifi27	2
Ostm1	3
Fam171b	7
Atxn7l1	4
Adam15	3
Hgh1	3
Selplg	1
Eml3	3
Hs3st3b1	3
Ppp1r14a	5
Dnajc13	1
Cdkn1b	1
Dmtn	4
Foxo1	2
Sema6b	3
Klri1	8
P4hb	3
Scarb1	3
Hcn3	1
Atp6v0a1	1
Xpr1	3
Lyz1	3
Ttll2	2
Tcn2	1
Gsto1	2
Ptger2	3
Nmi	1
Ddx6	1
Rap1b	1
Arhgap15	3
Nsd3	1
Dhrs1	3
Arhgef7	3
Ppm1m	3
Cd44	2
Fcgr4	1
Abca17	4
Pigv	1
Rnd3	6
Txndc15	3
Fam241a	4
Ubxn2a	1
Ccl1	2
Ly6m	1
H2.D1	1
Coch	1
Spry4	5
Nudt22	3
Zbtb21	1
Naa25	1
Prkd3	5
Znrf1	2
Elmsan1	3
Nmrk1	2
Usp25	4
Mta3	5
Ms4a4b	2
Cd82	1
Dop1b	1
Iqgap1	1
Trim56	1
Jak2	1
Adgra2	3
Acp6	3
Iigp1	1
Bclaf3	1
Arl5b	1
Spata13	3
Iqce	3
Plpp2	3
Oxct1	3
Gbp6	1
Batf2	1
F830208F22Rik	2
Dck	1
Clec4a2	9
Nes	1
Nrip1	1
Map1b	1
Tcf24	3
Pcdh1	3
Dnajc7	1
Fut8	1
Cth	2
Klf3	8
Txnip	3
Gch1	4
Dip2c	3
Zfp964	2
Tent5c	2
Chrna5	4
Snx11	2
Sh3bp1	8
Celf4	3
Phactr1	3
Cox17	1
Ddt	2
Rnf166	3
Snai3	3
Ankrd44	5
Lpp	1
AI987944	1
Camkk1	9
Sik3	1
Kdm7a	3
Slc9a4	3
Abhd8	3
Jag1	1
Stimate	2
Susd3	5
Retsat	3
Fam43a	3
Kazald1	3
Mbd1	1
Sh3kbp1	4
Selenoh	3
Cast	4
Foxn3	2
Sass6	1
Zfp608	5
Flt3	3
Mndal	1
Ido1	1
Spib	1
Rasa2	4
Pmm1	3
Arap1	3
Zfp398	3
Kcnh4	1
Plp2	5
Lat2	3
Itga6	5
Stat3	1
Wnt11	1
Ostf1	1
Sco1	1
Ifi27l2a	1
Acot7	1
Map11	3
Acyp1	5
Snx18	3
Bmyc	3
Rasd2	3
Khk	7
Cd48	7
Inpp5b	1
Gtf2h2	3
Scd2	3
Abcc1	2
Ap1s3	3
Loxl4	2
Keap1	1
Rbm43	5
Cdca3	3
Etv4	3
Man2a1	3
Inka1	1
Myd88	1
Castor2	1
Pigx	3
Atp6ap1	3
Bach2	3
Eci2	3
Ralb	3
Ttll9	1
Xiap	4
A4galt	2
Nxf1	1
Ppp4r2	1
Cspg5	2
Gtf2i	3
Acaa2	7
Retreg1	3
Arl6	6
Tmod3	1
Kif5a	5
Rnf34	1
Npc1	3
Csf2rb	2
Popdc2	1
Stoml1	1
Dnaja1	1
Pofut1	2
Ech1	3
Usp15	1
Cdk1	1
Acsl5	3
Dtx4	9
Bscl2	3
Bmt2	2
Acads	3
Galns	3
Lrpap1	3
Pcyox1	3
Usp40	1
X4930599N23Rik	1
Polr3g	3
Relt	2
Zc3h15	1
Selenow	1
X1700009J07Rik	3
Tifa	3
Ghitm	1
Ncoa2	2
Cbx6	3
Ctsa	9
Man2b2	3
Klc4	3
Alg5	3
Zbtb4	5
Paqr8	1
Sec11c	3
Abhd14b	3
Fchsd2	2
Scrn3	3
Tmem181b.ps	1
Tbc1d31	3
Gmppb	1
Gng4	1
Grap	2
Akr1b10	3
Grap2	6
Marf1	1
Prpf38a	1
Vwa5a	5
Cyb5r1	3
Gng2	3
Afap1l2	2
Kirrel3	2
Kcnab1	1
Ppm1h	3
Disc1	5
Alad	3
Trpm2	2
Pgghg	1
