PeakID	Irf1_0	Irf1_120	Irf4_0	Irf4_120	Junb_0	Junb_120	Rela_0	Rela_120	Relb_0	Relb_120	Rel_0	Rel_120	Stat1_0	Stat1_120	Stat2_0	Stat2_120	Stat3_0	Stat3_120
peak18573	5.54	11.60	16.51	10.68	10.89	32.52	1.11	10.64	2.08	5.20	3.22	6.38	1.69	5.24	6.84	3.85	1.89	1.60
peak14117	5.54	6.44	0.00	1.78	14.00	15.31	1.11	10.64	1.04	2.08	0.00	1.60	0.48	4.24	0.00	1.28	0.00	1.60
peak6068	0.00	0.00	1.50	1.19	1.56	7.65	1.11	1.93	3.12	2.08	0.00	3.19	0.73	1.79	2.73	0.00	1.26	0.00
peak2797	0.00	2.58	1.50	4.75	7.78	7.65	0.00	5.80	2.08	2.08	0.00	3.19	2.06	1.67	2.73	1.92	0.63	7.20
peak21268	2.22	6.44	4.50	1.78	6.22	3.83	2.23	2.90	0.00	9.35	3.22	3.19	1.69	2.34	0.00	0.64	3.77	4.80
peak17647	0.00	3.87	0.00	1.78	3.11	1.91	1.11	0.00	0.00	0.00	1.61	0.00	0.48	1.00	0.00	0.00	1.26	0.00
peak22244	0.00	0.00	0.00	0.00	0.00	0.00	1.11	2.90	1.04	3.12	0.00	4.79	1.81	1.79	0.00	0.00	1.89	0.80
peak9272	1.11	5.15	19.51	4.15	1.56	7.65	1.11	2.90	1.04	3.12	0.00	0.00	0.85	0.78	1.37	1.28	0.63	4.00
peak8048	3.32	3.87	3.00	5.93	10.89	1.91	5.57	6.77	1.04	1.04	0.00	4.79	1.57	2.79	1.37	4.49	0.00	1.60
peak8678	3.32	21.90	3.00	2.37	10.89	7.65	6.69	5.80	1.04	3.12	3.22	1.60	1.81	3.46	5.47	3.85	1.89	3.20
peak20788	4.43	2.58	19.51	8.30	10.89	5.74	2.23	8.70	2.08	0.00	3.22	4.79	0.97	2.45	4.10	1.28	0.00	1.60
peak24296	2.22	2.58	1.50	4.75	9.33	13.39	0.00	0.00	6.23	2.08	1.61	1.60	0.73	1.45	1.37	0.00	1.89	3.20
peak29388	1.11	16.75	7.51	3.56	1.56	0.00	0.00	2.90	0.00	2.08	3.22	1.60	1.94	1.45	0.00	0.00	2.51	0.00
peak27630	0.00	1.29	0.00	1.19	0.00	1.91	3.34	1.93	2.08	0.00	3.22	1.60	0.24	1.23	2.73	1.28	1.89	0.80
peak219	2.22	6.44	1.50	3.56	9.33	7.65	1.11	10.64	1.04	0.00	6.44	4.79	1.21	1.00	0.00	1.28	0.63	1.60
peak11573	0.00	0.00	0.00	1.78	1.56	5.74	0.00	0.00	0.00	0.00	0.00	0.00	1.09	4.13	0.00	1.28	0.63	0.00
peak4937	0.00	3.87	0.00	0.59	0.00	1.91	2.23	3.87	2.08	0.00	0.00	1.60	2.54	1.23	1.37	4.49	0.63	0.00
peak29022	0.00	7.73	12.01	4.15	6.22	11.48	6.69	7.74	1.04	1.04	4.83	1.60	1.69	16.96	2.73	8.34	6.29	18.40
peak17917	4.43	0.00	4.50	3.56	7.78	7.65	1.11	4.84	2.08	3.12	4.83	6.38	0.48	2.01	1.37	2.57	0.63	0.80
peak13106	1.11	0.00	3.00	1.19	0.00	0.00	2.23	0.00	1.04	1.04	1.61	0.00	0.85	0.89	1.37	0.00	0.00	0.00
peak16811	3.32	5.15	10.51	10.08	23.34	22.96	0.00	6.77	2.08	4.16	3.22	3.19	0.60	1.23	0.00	3.85	2.51	0.80
peak18384	5.54	9.02	6.00	7.71	21.78	24.87	1.11	12.57	2.08	1.04	0.00	3.19	1.09	3.57	1.37	1.28	3.14	2.40
peak4923	3.32	15.46	18.01	4.75	14.00	9.57	3.34	5.80	5.19	7.28	6.44	4.79	1.45	2.34	4.10	3.21	5.03	4.80
peak30300	5.54	0.00	1.50	5.34	3.11	3.83	7.80	1.93	2.08	1.04	0.00	1.60	1.57	1.45	5.47	5.77	0.00	0.00
peak16014	5.54	9.02	3.00	1.19	0.00	3.83	1.11	6.77	6.23	15.59	0.00	0.00	1.09	2.34	0.00	1.92	0.00	0.00
peak27537	4.43	3.87	1.50	1.19	1.56	0.00	0.00	4.84	0.00	6.24	1.61	1.60	1.45	1.34	2.73	0.00	1.89	4.80
peak10829	2.22	0.00	1.50	2.97	0.00	0.00	0.00	0.97	2.08	1.04	1.61	0.00	1.57	2.23	0.00	0.64	3.77	1.60
peak12806	12.19	1.29	7.51	3.56	4.67	7.65	2.23	7.74	2.08	1.04	1.61	0.00	1.81	2.12	0.00	1.92	1.89	4.00
peak23674	19.94	18.04	27.02	6.53	18.67	9.57	3.34	19.34	2.08	8.32	0.00	3.19	3.27	10.60	4.10	7.70	4.40	12.80
peak17690	3.32	1.29	3.00	0.00	7.78	0.00	1.11	1.93	1.04	3.12	1.61	1.60	0.24	2.01	2.73	0.00	1.26	2.40
peak28788	0.00	2.58	0.00	0.59	0.00	0.00	1.11	0.00	2.08	6.24	0.00	3.19	0.36	0.56	0.00	0.64	0.00	0.80
peak27922	7.75	9.02	1.50	1.78	0.00	5.74	1.11	6.77	1.04	4.16	0.00	0.00	0.48	2.90	1.37	0.64	1.26	2.40
peak14634	19.94	30.92	6.00	5.93	24.89	28.70	18.95	66.74	1.04	10.39	6.44	9.58	2.42	19.52	2.73	5.13	5.66	4.80
peak20952	13.29	9.02	6.00	4.75	9.33	9.57	1.11	16.44	4.16	8.32	4.83	0.00	1.09	2.57	6.84	1.28	1.89	6.40
peak15832	2.22	2.58	4.50	1.78	0.00	0.00	2.23	0.00	3.12	0.00	3.22	0.00	1.21	2.57	2.73	1.92	0.63	0.00
peak4882	2.22	3.87	6.00	2.37	14.00	11.48	1.11	2.90	0.00	0.00	1.61	1.60	1.33	2.01	0.00	1.28	1.26	1.60
peak8659	2.22	7.73	7.51	2.37	0.00	0.00	3.34	17.41	0.00	12.47	1.61	12.77	0.36	2.01	0.00	1.28	2.51	1.60
peak3890	0.00	0.00	3.00	1.19	0.00	1.91	0.00	0.00	0.00	1.04	1.61	1.60	0.60	2.23	0.00	0.64	1.89	4.80
