PeakID	Uns	CpG	pIC	all3	PU.1_0hr	PU.1_CpG	PU.1_pIC	Rela_0hr	Rela_CpG	RelB_CpG	p300_0hr	p300_CpG	p300_pIC	cREL_0hr	cREL_CpG	cREL_pIC	IRF3_0hr	IRF3_CpG	IRF3_pIC	IRF5_0hr	IRF5_CpG	IRF5_pIC
peak25398	15.59	6.63	10.19	6.26	24.53	18.28	13.63	0.92	3.08	2.77	2.83	5.43	1.48	0.00	0.51	0.59	0.00	2.27	0.00	0.62	0.77	0.43
peak14007	3.46	2.02	7.64	1.99	8.09	11.27	8.23	1.84	0.00	2.77	1.80	1.97	3.45	2.30	3.57	7.66	4.44	5.30	15.31	0.41	2.32	4.56
peak15626	2.02	5.76	1.98	11.95	1.83	4.26	3.06	1.84	4.10	5.53	1.29	2.96	0.99	0.58	17.85	7.66	1.77	1.51	5.10	0.41	3.56	2.42
peak24543	12.41	6.63	17.82	8.54	19.57	20.28	23.50	2.31	2.05	2.07	4.12	8.88	10.36	0.00	1.02	1.77	11.54	22.72	62.09	3.70	8.19	9.98
peak26679	0.87	1.44	6.51	11.10	0.78	0.75	0.94	0.46	0.00	3.80	0.77	1.48	2.96	0.58	6.12	4.71	1.77	0.76	0.00	1.64	3.25	3.42
peak21385	5.49	2.59	2.83	2.85	1.57	1.50	1.65	1.84	3.08	0.69	1.03	2.47	1.97	0.00	0.00	0.00	0.89	0.00	1.70	1.44	1.86	2.42
peak3530	50.81	35.14	40.17	35.85	24.01	23.29	19.74	3.23	16.91	32.15	6.44	7.89	5.43	1.73	19.89	12.38	48.81	78.75	63.79	6.78	25.51	26.22
peak3233	15.30	10.08	2.55	8.54	17.75	13.02	12.93	4.61	5.13	4.15	3.35	5.92	3.45	1.15	7.65	2.95	24.85	12.87	11.06	4.31	13.60	10.97
peak9375	11.84	5.76	3.96	3.13	26.88	14.02	13.87	5.07	3.59	4.49	4.64	1.97	1.97	1.15	0.51	0.00	9.76	6.82	2.55	2.05	1.86	1.43
peak10605	2.89	0.86	9.62	2.28	3.13	3.00	6.82	0.00	2.05	0.00	0.52	1.97	3.45	1.15	3.57	0.59	1.77	1.51	0.85	2.05	5.10	4.56
